Source name	Young's modulus (Pa)	Contact X (μm)	Contact Y (nN)	Transition indent (μm)	Transition force (pN)	Deformation (μm)	Adhesion force (pN)	R Squared	Spring const (N/m)	Sensitivity (μm/V)	Tip geometry	Batch	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.43.25.934.jpk-force	-3.447	5.1338	-0.4472	5.6093	-113.9885	5.7201	209.0744	0.8313	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.49.38.191.jpk-force	180.9284	6.7338	-1.4943	1.0813	598.7819	1.1172	43.8428	0.9912	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.26.51.802.jpk-force	-1.822	3.3634	-2.8131	4.0552	-38.7108	4.0552	13.0257	0.6735	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.38.39.081.jpk-force	129.9567	3.463	0.3278	1.4983	686.2764	1.4983	55.116	0.9942	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.46.58.072.jpk-force	113.4343	5.5701	-1.0703	1.6658	695.0659	1.6658	83.7211	0.996	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.29.27.880.jpk-force	94.2315	3.2045	-0.8923	1.6157	574.8401	1.7728	85.0176	0.9771	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.37.27.570.jpk-force	123.4018	4.0453	-2.7257	1.2475	523.6665	1.393	54.1455	0.9732	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.28.26.238.jpk-force	94.1456	5.0108	-0.5201	1.7002	620.7471	1.7384	200.5015	0.986	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.28.15.912.jpk-force	114.7937	5.0616	-0.4603	1.4806	615.334	1.5543	84.7694	0.9861	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.33.16.804.jpk-force	99.3115	3.1869	-1.9543	1.1816	385.3599	1.5916	194.5025	0.9448	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.32.55.619.jpk-force	130.4513	3.5601	-1.8883	1.3686	608.4714	1.4314	207.8608	0.9898	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.49.06.604.jpk-force	202.7961	7.3442	-1.3853	1.078	629.7052	1.078	143.6196	0.9894	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.38.56.401.jpk-force	142.6257	3.2242	0.2775	0.9907	423.2907	1.2823	53.8098	0.9689	0.0316	0.0234	Paraboloid (Hertz)	3	
